text,sentiment
"deep in the northwest , there is a lone ranch tucked away so purposefully , the only way to find it is by not looking .",Objective
"4ever has the same sledgehammer appeal as pokemon videos , but it breathes more on the big screen and induces headaches more slowly .",Subjective
"as a young teenager , he finds out who his father is .",Objective
"si el siglo xxi necesita de héroes , el hombre araña parece haber llegado para quedarse .",Subjective
"in life , there's silver , and there's lead , says rikki ortega , as he moves to be king of the street in "" &#193 ; nglio , "" l . a . 's east side .",Objective
it's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins .,Subjective
"all these games of chasing , rejecting and seducing are played out in an economically and spiritually depressed hong kong , without much gusto .",Objective
"it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many talented people were convinced to waste their time .",Subjective
"television made him famous , but his biggest hits happened off screen .",Objective
"writer/director walter hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable .",Subjective
jordan is a mom who is on a life long search for true faith as she tries to protect her only child from what she believes is injustice .,Objective
"hill looks to be going through the motions , beginning with the pale script .",Subjective
"'bloody magic' is the story of zack , an eleven year old school boy , who's family is visited by three debt collectors .",Objective
"extremely well cast , especially in the large number of supporting roles .",Subjective
"however , jane , wendy's 12-year-old daughter , sees it all as make believe and refuses to believe in the tales .",Objective
a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933 .,Subjective
"called "" an elegant documentary "" by sundance and "" eloquent and deeply moving "" by the la times , toyo miyatake : infinite shades of gray is a penetrating portrait of this photographer's search for truth and beauty in a world of impermanence .",Objective
"a dark , quirky road movie that constantly defies expectation .",Subjective
straight up : helicopters in action will take audiences on a series of aerial adventures .,Objective
"impostor doesn't do much with its template , despite a remarkably strong cast .",Subjective
a lapp woman anni gives a shelter to both of them at her farm .,Objective
"though it lacks the utter authority of a genre gem , there's a certain robustness to this engaging mix of love and bloodletting .",Subjective
"it also touches on the encroachment of christianity brought by the missionaries , which is at odds with mepe's tribal and traditional roots .",Objective
"if you can keep your eyes open amid all the blood and gore , you'll see del toro has brought unexpected gravity to blade ii .",Subjective
a set of grisly murders brings fbi agent will graham ( norton ) out of retirement and puts him in search of an atrocious killer ( fiennes ) who's driven by the image of a painting .,Objective
"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .",Subjective
"soon , the team begins to suspect that knowles' main objective is actually to recover the prototype of a dna testing machine called the huxley project , which his company has spent years and millions of dollars developing .",Objective
a work that lacks both a purpose and a strong pulse .,Subjective
"his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure that will transform their lives .",Objective
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,Subjective
"with a rare gift for melding subjectivity with biographical facts , m&#225 ; rton brings sabina spielrein back to life , body and soul .",Objective
a mimetic approximation of better films like contempt and 8 1/2 .,Subjective
"seeking a mental escape , simone begins to tune into what's happening with the other couples around her .",Objective
"eastwood is an icon of moviemaking , one of the best actors , directors and producers around , responsible for some excellent work . but even a hero can stumble sometimes .",Subjective
"the beatle fan is a drama about albert , a psychotic prisoner who is a devoted fan of john lennon and the beatles .",Objective
"nair doesn't use [monsoon wedding] to lament the loss of culture . instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions .",Subjective
"then , in 1974 , something incredible happened - they fell in love .",Objective
"stuffed to the brim with ideas , american instigator michael moore's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition .",Subjective
"on her deathbed , candice klein accidentally asks the question , "" what did i ever do to deserve this ? """,Objective
". . . a joke at once flaky and resonant , lightweight and bizarrely original .",Subjective
"shot as a "" behind-the-scenes "" look at how a fictional kung-fu movie is made , the film is basically a movie about the making of a movie .",Objective
"fontaine's direction , especially her agreeably startling use of close-ups and her grace with a moving camera , creates sheerly cinematic appeal .",Subjective
"before the investigation ends , we've met boyfriends , a drug dealer , alicia's mom , hadley's dad , nurses , doctors , and an orderly .",Objective
"starts slowly , but adrien brody  in the title role  helps make the film's conclusion powerful and satisfying .",Subjective
but what exactly is good &#38 ; what exactly is evil ?,Objective
a refreshing change from the usual whoopee-cushion effort aimed at the youth market .,Subjective
"the movie takes place in mexico , 2002 ( based on a story from the 1800's ) .",Objective
"you really have to salute writer-director haneke ( he adapted elfriede jelinek's novel ) for making a film that isn't nearly as graphic but much more powerful , brutally shocking and difficult to watch .",Subjective
"rainone's love affair with singing sensation kelly mcguire whom he discovered and his near demise by the hands of his own prot&#233 ; g&#233 ; vincent riccola is the juice that fuels this roller coaster ride through two debauchery-filled decades of greed , sex , drugs and rock and roll .",Objective
"barry convinces us he's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful .",Subjective
"trapped in a lovers triangle and ruthless game of lust , greed , and betrayal we follow one woman's hypnotic journey to discover her true self . . .",Objective
"a distant , even sterile , yet compulsively watchable look at the sordid life of hogan's heroes star bob crane .",Subjective
"decent-but-dull dek loves shirley , so much so that he humiliates her by proposing without warning on national television .",Objective
"there's no disguising this as one of the worst films of the summer . or for the year , for that matter .",Subjective
"since all her architects are either busy otherwise or too conservative in style , this ambivalent honour falls to numerobis .",Objective
"director dan verete uses his camera as the metaphoric needle , and his cast in each segment as his thread , to form a sweeping tapestry of mis-explanation and contention .",Subjective
"there's a story that goes around the town of darkness falls about her , and she's called the tooth fairy .",Objective
"waydowntown just like most large cities , isn't somewhere you'll want to spend the rest of your life , but it sure is a fun place to visit for a while .",Subjective
a strange film employing old home movies and newly shot footage in an effort to expose one hungarian family and their mutiple problems from the 1940s to current .,Objective
"the acting in pauline and paulette is good all round , but what really sets the film apart is debrauwer's refusal to push the easy emotional buttons .",Subjective
"matsumoto and sawako were a happy couple , but meddling parents and chase for success push the boy to a tragic choice .",Objective
the only young people who possibly will enjoy it are infants . . . who might be distracted by the movie's quick movements and sounds .,Subjective
"elvis teams up with jack ( ossie davis ) , a fellow nursing home resident who thinks that he is actually president john f . kennedy , and the two valiant old codgers sally forth to battle an evil egyptian entity who has chosen their long-term care facility as his happy hunting grounds .",Objective
there's lots of cool stuff packed into espn's ultimate x .,Subjective
"everywhere he goes he is plagued by cats and when by chance he meets carol on a lonely highway they must begin a journey , avoiding the mysterious private detective mr barlow and the terrifying inhuman creature jack , to uncover the dark truth to charlie's life .",Objective
it gets old quickly . watch barbershop again if you're in need of a cube fix--this isn't worth sitting through .,Subjective
"used to living in poverty , it seemed impossible for cass and cary to have a comfortable and bountiful life until doqa gracia comes to bring them into her home .",Objective
harland williams is so funny in drag he should consider permanent sex-reassignment .,Subjective
the story of a normal family in which come out the dreams of those who have lost their possibilities and of those who want to realize them .,Objective
the film's images give a backbone to the company and provide an emotional edge to its ultimate demise .,Subjective
"with grit and determination molly guides the girls on an epic journey , one step ahead of the authorities , over 1 , 500 miles of australia's outback in search of the rabbit-proof fence that bisects the continent and will lead them home .",Objective
it's the kind of film where the villain even gives an evil look for his passport photo . how can you resist that ?,Subjective
they nevertherless feel responsible to protect the flag until monday's ceremony .,Objective
plotless collection of moronic stunts is by far the worst movie of the year .,Subjective
"the doctor realizes it''s a love virus so he advises him to woo the girl somehow , not realizing that munnabhai has fallen for none other than his own younger sister komal .",Objective
"a broad , melodramatic estrogen opera that's pretty toxic in its own right .",Subjective
"however , he can only inhabit the body of a child for a short time .",Objective
"just a kiss wants desperately to come off as a fanciful film about the typical problems of average people . but it is set in a world that is very , very far from the one most of us inhabit .",Subjective
"years later , on a hunting trip in the maine woods , they are overtaken by a blizzard , a vicious storm in which something much more ominous moves .",Objective
this is a movie where the most notable observation is how long you've been sitting still .,Subjective
"consequently , what begins as an enthusiastic road trip is soon plagued with mysterious roadside obstacles that threaten to prevent the boys from ever making it to the competition .",Objective
"with a romantic comedy plotline straight from the ages , this cinderella story doesn't have a single surprise up its sleeve . but it does somehow manage to get you under its spell .",Subjective
when she gets into trouble with the police simon represses his death wish and decides to help her out .,Objective
a charming trifle . . . a welcome return to jocular form .,Subjective
chon then travels to new york for roy o'bannon ( owen wilson ) .,Objective
it's not difficult to spot the culprit early-on in this predictable thriller .,Subjective
"not only must they overcome an enemy adept at technological witchery , they must overcome the curse that marks their destiny .",Objective
"without the dark spookiness of crystal lake camp , the horror concept completely loses its creepy menace .",Subjective
"their life becomes less ordinary when they encounter herb , a mischievous and malevolent geek .",Objective
there's suspension of disbelief and then there's bad screenwriting . . . this film packs a wallop of the latter .,Subjective
they call themselves d . e . b . s .,Objective
"little more than a stylish exercise in revisionism whose point . . . is no doubt true , but serves as a rather thin moral to such a knowing fable .",Subjective
"the story starts with hakimi , a freelance scriptwriter who is on his way to send his 7-year-old daughter , imelda , to his ex-wife's house on one stormy night .",Objective
anyone who can count to five ( the film's target market ? ) can see where this dumbed-down concoction is going .,Subjective
"they follow leads , informants turn up dead , nick's wife is unhappy he's back on the street , henry's protective of the dead cop's wife .",Objective
every defiantly over-the-top action scene -- from high-stakes car chases to fearsome drug busts -- seizes your adrenal gland and milks it like an epileptic farmer .,Subjective
"the second part of aki kaurism&#228 ; ki's "" finland "" trilogy , the film follows a man who arrives in helsinki and gets beaten up so severely he develops amnesia .",Objective
kosminsky . . . puts enough salt into the wounds of the tortured and self-conscious material to make it sting .,Subjective
"soon after the accident , the survivors of the accident start dropping like flies .",Objective
a sobering and powerful documentary about the most severe kind of personal loss : rejection by one's mother .,Subjective
edgar becomes intent on laying down some new rules and turning his coddled son into someone who can take on the family farm .,Objective
"if the story lacks bite , the performances are never less than affectionate .",Subjective
"bound by a long red cord , a young couple wanders in search of something they have forgotten .",Objective
"a deftly entertaining film , smartly played and smartly directed .",Subjective
"sudden fame does not seem to solve everything , however .",Objective
"ice age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .",Subjective
"with no option , joe and katsuragi must use their martial arts skills to fight in the muscle dome .",Objective
i like my christmas movies with more elves and snow and less pimps and ho's .,Subjective
"drawing from his time with the kids , he writes a story about children who don't want to grow up .",Objective
ferrara's strongest and most touching movie of recent years .,Subjective
"she's an artist , but hasn't picked up a brush in a year .",Objective
skip work to see it at the first opportunity .,Subjective
"when his daughter is kidnapped and held in exchange for priceless diamonds , the leader of a crew of highly skilled urban thieves ( dmx ) forges an unlikely alliance with a taiwanese intelligence officer ( jet li ) to rescue her .",Objective
"both the film and nachtwey's photos hammer home the grim reality of the world's gutters and battlefields , and will make you question what 'news' really is .",Subjective
""" garmento "" tells the other side of the story , with a dark and satirical look at new york's wholesale garment industry , where shady deals are made for a buck and ruthlessness is a prerequisite for career success .",Objective
so relentlessly wholesome it made me want to swipe something .,Subjective
rudy yellowshirt is an investigator with the police department and witnesses firsthand the painful legacy of indian existence .,Objective
"shyamalan offers copious hints along the way -- myriad signs , if you will -- that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes .",Subjective
"journeying from the vietnam war to pulaski , tennessee and back to vietnam , daughter from danang tensely unfolds as cultural differences and the years of separation take their toll in a riveting film about longing and the personal legacy of war .",Objective
"that 'alabama' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of witherspoon ( who is always a joy to watch , even when her material is not first-rate ) . . .",Subjective
each weekend they come back with nothing but a hangover .,Objective
"against all odds in heaven and hell , it creeped me out just fine .",Subjective
robert de niro plays a therapist who is an obsessive-compulsive agoraphobic and hasn't left his apartment in six years .,Objective
nicely combines the enigmatic features of 'memento' with the hallucinatory drug culture of 'requiem for a dream . ',Subjective
"with his own group , the urban cyber breakers , he has got a dream : to win the dance battle that will bring his team to the world final in new york before reaching usa and fame , he has to overcome the rival group , the ld , to deal with his mother's excessive love and to live out his passion for the beautiful samia .",Objective
"it is a film that will have people walking out halfway through , will encourage others to stand up and applaud , and will , undoubtedly , leave both camps engaged in a ferocious debate for years to come .",Subjective
"graced with the instinctive ability to dance , jenny thomas wants nothing more than to become a professional dancer .",Objective
japan's premier stylist of sex and blood hits audiences with what may be his most demented film to date .,Subjective
"genetically engineered to be immune to the drug , miles' strange charisma draws claire to him , but when he brutally guns down a group of harmless dissidents , she begins to doubt she can really trust anyone .",Objective
the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them . strange occurrences build in the mind of the viewer and take on extreme urgency .,Subjective
palm springs' white party is the backdrop for this documentary on the fast-paced world of gay circuit parties .,Objective
"in the spirit of voltaire and molière , on guard volleys great wit and deadly gestures in a milieu of lush apparel , landscapes , captivating music and 18th-century lacy sleeves .",Subjective
"a few questionable actions later on both parties' part , they finally start questioning their actions and their lives .",Objective
"while holm is terrific as both men and hjejle quite appealing , the film fails to make the most out of the intriguing premise .",Subjective
"ramu stands in and repeats the wisdom of sharonna , freeing the mind of the posh guests and attracting lexi to him .",Objective
"while hollywood ending has its share of belly laughs ( including a knockout of a closing line ) , the movie winds up feeling like a great missed opportunity .",Subjective
anna is the jewish daughter of a spanish mother and a greek father .,Objective
"ultimately , in the history of the academy , people may be wondering what all that jazz was about "" chicago "" in 2002 . zellweger's whiny pouty-lipped poof faced and spindly attempt at playing an ingenue makes her nomination as best actress even more of a an a",Subjective
"believing his parent's dead , bruce is raised by adoptive parents .",Objective
"es divertida , visualmente espectacular y muy entretenida . simple y sencillamente te sorprenderá .",Subjective
"identified as deserters , they are returned to their barracks to be court martialed .",Objective
not since japanese filmmaker akira kurosawa's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur .,Subjective
frances decides to take a break and she buys a villa in the beautiful tuscan countryside and decides to begin anew .,Objective
"the video work is so grainy and rough , so dependent on being 'naturalistic' rather than carefully lit and set up , that it's exhausting to watch .",Subjective
"set in the los angeles police department in april 1992 , dark blue is a dramatic thriller that takes place just days before the acquittal of four white officers in the beating of black motorist rodney king and the subsequent l . a . riots .",Objective
"the screenplay comes across , rather unintentionally , as hip-hop scooby-doo .",Subjective
during this time he becomes wracked by horrific and surreal visions that begin to fuel his work .,Objective
the next big thing's not-so-big ( and not-so-hot ) directorial debut .,Subjective
the face of the serpent is an action-thriller with strong political undertones of local government corruption .,Objective
the cumulative effect of the movie is repulsive and depressing .,Subjective
"he resurfaces as a hired snoop for , earth now , a radical ecology group .",Objective
"judging from the strength of this superbly enigmatic film , oliveira himself seems far from ready to go home .",Subjective
"surrounded by a bevy of adoring but completely wrong for her men ( and one dead girl from manchester ) , chance has to pick her way through her messy life in order to figure out which guy is "" it "" .",Objective
"passionate , irrational , long-suffering but cruel as a tarantula , helga figures prominently in this movie , and helps keep the proceedings as funny for grown-ups as for rugrats .",Subjective
"upon discovering her infidelity , roxie's husband amos refuses to take the blame for the murder and roxie is sent to jail , pending hanging .",Objective
"christians sensitive to a reductionist view of their lord as a luv-spreading dr . feelgood or omnipotent slacker will feel vastly more affronted than secularists , who might even praise god for delivering such an instant camp classic .",Subjective
"initially reluctant to help , daniel's conscience eventually gets the better of him .",Objective
"aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships .",Subjective
"his plans go awry , however , when his older brother , keith , returns from prison .",Objective
"if festival in cannes nails hard- boiled hollywood argot with a bracingly nasty accuracy , much about the film , including some of its casting , is frustratingly unconvincing .",Subjective
"inspired and motivated , the kids save the day , showing bravery and nobility .",Objective
the movie is pretty funny now and then without in any way demeaning its subjects .,Subjective
however he's cauught by the mexican secret police and is forced to infiltrate a gruop political activist in the movement of 68 .,Objective
"it's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",Subjective
arjun ( akshay kumar ) is a high profile vigilante who soon encounters a problem when his mother ( raakhee ) becomes terribly ill .,Objective
"when your subject is illusion versus reality , shouldn't the reality seem at least passably real ?",Subjective
"ronnie must then deal with his new life , while having to deal with missing his ex-wife that he left back home .",Objective
"confusion is one of my least favourite emotions , especially when i have to put up with 146 minutes of it .",Subjective
"chuck - the songwriting leader of the po'boys , is discouraged and facing writer's block .",Objective
"sitting in the third row of the imax cinema at sydney's darling harbour , but i sometimes felt as though i was in the tiny two seater plane that carried the giant camera around australia , sweeping and gliding , banking and hovering over some of the most not",Subjective
"chomsky places the terrorist attacks in the context of american foreign intervention throughout the postwar decades--in vietnam , central america , the middle east , and elsewhere .",Objective
"may be far from the best of the series , but it's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .",Subjective
"she quickly makes friends with paul taylor , a witty mormon student filmmaker who finds jenny's ambitious dream to be the subject for his next film project .",Objective
the result reverberates on the screen with a deadly force and fury more intense than anything mr . scorsese has yet achieved on the meanest and most beloved streets he could imagine or recall .,Subjective
one of the friends is a dress designer and provides him the artist's clothes and imported cars are provided to him to enjoy life .,Objective
"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience .",Subjective
three friends get together and bury a box making a pact to open it at midnight at their high school graduation .,Objective
"the leaping story line , shaped by director peter kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",Subjective
"fearful of the repercussions on his already messed up life , greg flees the scene and manages to hide his clunky damaged truck on the nearby overgrown farm of martha thompson , an aging grouchy widow who lives by the scriptures , ideas of traditional family and her trusty shotgun .",Objective
it's too interested in jerking off in all its byzantine incarnations to bother pleasuring its audience .,Subjective
but her husband always has prevented her realization of this fact .,Objective
for a rapsploitation film to target and frown upon the darker forces of its nature is certainly a good sign for the maturation of the genre .,Subjective
"today marks a special anniversary for the couple and they set out to celebrate the way they have before , with an old fashion picnic .",Objective
"a movie that doesn't aim too high , but doesn't need to .",Subjective
"the next morning , their friday gets freaky when tess and anna find themselves inside the wrong bodies .",Objective
the kind of movie that seduces you into becoming putty in its manipulative card-sharking hands and making you enjoy being taken in by its shameless contrivance .,Subjective
the boy gets a shock when he comes to know that the job involves spying sharad's wife .,Objective
"an erotic thriller that's neither too erotic nor very thrilling , either .",Subjective
"in the surroundings of the bookstore , a lot of criminal , but also funny activities take place .",Objective
"the best part about "" gangs "" was daniel day-lewis .",Subjective
blade's team and the bloodpack are the only line of defense which can prevent the reaper population from wiping out the vampire and human populations .,Objective
"the work of an artist tormented by his heritage , using his storytelling ability to honor the many faceless victims .",Subjective
"after letting his screenwriting software sit on his shelf for three years , he finally has the big idea that inspires him to load screenwriter 4 . 0 and get writing .",Objective
"rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .",Subjective
"when the gammasphere goes wrong , bruce banner is afflicted with the ability to turn into a mammoth creature soon dubbed 'the hulk' , a manifestation of his own inner demons that he mutates into when it is emotionally triggered .",Objective
the disjointed mess flows as naturally as jolie's hideous yellow 'do .,Subjective
renata is a young high-class girl and ulises is a poor guy .,Objective
the plan to make enough into an inspiring tale of survival wrapped in the heart-pounding suspense of a stylish psychological thriller' has flopped as surely as a soufflé gone wrong .,Subjective
amaro soon discovers that corruption and the church are old acquaintances in los reyes .,Objective
"the movie is our story as much as it is schmidt's , no matter if it's viewed as a self-reflection or cautionary tale .",Subjective
"in the end , debby , beth , and virginia find , if not the relationships of their dreams , peace with each other and within themselves .",Objective
"raunchy though [cho's] material is , it embraces all comers , regardless of gender , sexuality , race or ethnicity . and it's never been sharper -- or funnier -- than it is here .",Subjective
he is in search for his salvation and his son salvation from a family curse .,Objective
fans of behan's work and of irish movies in general will be rewarded by borstal boy .,Subjective
"all are endeavoring to remove the stones that insistently appear in their path or , worst , that are in their shoes .",Objective
"miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness .",Subjective
"renowned adventurer allan quatermain ( connery ) leads a team of extraordinary figures with legendary powers to battle the technological terror of a madman known as "" the fantom . """,Objective
this is an exercise not in biography but in hero worship .,Subjective
"but for trey segal , that dream comes at a cost .",Objective
". . . has its moments , but ultimately , its curmudgeon doesn't quite make the cut of being placed on any list of favorites .",Subjective
the sequel to spy kids ; the second film revisits the adventures of the previous film .,Objective
"human nature talks the talk , but it fails to walk the silly walk that distinguishes the merely quirky from the surreal .",Subjective
johnny lever ( paaji ) is a millionaire sardarji who believes in distributing &#38 ; spending lavishly his wealth on his friends .,Objective
"anchored by friel and williams's exceptional performances , the film's power lies in its complexity . nothing is black and white .",Subjective
"during the year 2000 geyrhalter and his teams travelled to a different destination each month , looking for places untouched by the millennium hysteria .",Objective
"the writers , director wally wolodarsky , and all the actors should start their own coeducational fraternity : kappa rho alpha phi .",Subjective
kannas brother ghisu is one aggressive and hot-tempered with who is illiterate and is slowly getting attracted towards naxalites .,Objective
"like its title character , this nicholas nickleby finds itself in reduced circumstances -- and , also like its hero , it remains brightly optimistic , coming through in the end .",Subjective
her loving parents feel helpless as they watch their daughter suffer .,Objective
it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,Subjective
"area k is an israeli controlled marine zone isolating the gaza strip and preventing palestinian fishermen from entering israel , egypt and international waters .",Objective
"what one is left with , even after the most awful acts are committed , is an overwhelming sadness that feels as if it has made its way into your very bloodstream .",Subjective
"while other kids buy into countless hours of studying just so they can get a mark in some teacher's report book , handsome davis sees it as nothing more than a system of control over your mind .",Objective
"a competent , unpretentious entertainment destined to fill the after-school slot at shopping mall theaters across the country .",Subjective
frank's newest transport seems no different from the countless ones he's done in the past .,Objective
"louiso lets the movie dawdle in classic disaffected-indie-film mode , and brother hoffman's script stumbles over a late-inning twist that just doesn't make sense .",Subjective
they are told the story of the chamber of secrets .,Objective
"an unsatisfying hybrid of blair witch and typical stalk-and-slash fare , where the most conservative protagonist is always the last one living .",Subjective
but grace has a secret and it is a dangerous one .,Objective
"we have poignancy jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat .",Subjective
"the nameless protagonist , a 19th-century french diplomat , guides the audience through a lost , sumptuous dream that was the enlightenment period .",Objective
"as it turns out , you can go home again .",Subjective
"but there is indie rock , a restless entrepreneurial spirit , and carly , morgan and chuck , three optimistic post college grads , ready to make their splash in the world .",Objective
"using his audience as a figurative port-of-call , dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead .",Subjective
"a document about a unique political and artistic moment , the film traces the links between the two most important latin american filmmaking movements of the late '60s the brazilian cinema n&#244 ; vo and the cuban cine revolucionario .",Objective
"in the era of the sopranos , it feels painfully redundant and inauthentic .",Subjective
"in the cutthroat world of children's television , rainbow randolph , the corrupt , costumed star of a popular children's tv show , is fired over a bribery scandal and replaced by squeaky-clean smoochy , a puffy fuscia rhinoceros .",Objective
"instead of trying to bust some blondes , [diggs] should be probing why a guy with his talent ended up in a movie this bad .",Subjective
"two friends purchase a winning lottery ticket , only to have it stolen by a woman while she is robbing the cafe in which they are having lunch .",Objective
the movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man .,Subjective
"carlton "" niche "" james ( cory barlog ) is a man on a mission .",Objective
"even if the world doesn't see things the way [michael moore] does , his questions are worth asking .",Subjective
"together , they must battle a band of the world's most treacherous pirates , led by the cursed captain barbossa , in order to save elizabeth , the love of will's life , as well as recover the lost treasure that jack seeks .",Objective
and bowling for columbine benefits from his iconoclastic zeal .,Subjective
"in this bittersweet slice of working class single new jersey life , best friends debby and beth ( both pushing thirty ) go looking for love in the wrong place - namely their favorite bar , oliver's .",Objective
the only thing i laughed at were the people who paid to see it .,Subjective
"although their characters and temperaments couldn't be less alike , 19-year olds wei and jie are best friends .",Objective
scott delivers a terrific performance in this fascinating portrait of a modern lothario .,Subjective
"the body bears strange marks on the chest which may or may not be the sign of a sin eater ( furmann ) , a renegade who offers absolution , last rites and therefore a path to heaven outside the jurisdiction of the church .",Objective
"about amy's cuteness , amy's career success ( she's a best-selling writer of self-help books who can't help herself ) , and amy's neuroses when it comes to men .",Subjective
"this romantic comedy , described as an african-american when harry met sally . . . , centers on a romance between an a&#38 ; r exec , dre ( diggs ) , at a hip-hop label and a magazine editor , sidney ( lathan ) , who have known each other since childhood .",Objective
automatically pegs itself for the straight-to-video sci-fi rental shelf .,Subjective
"matt , a city boy , island hopping to take in the festival of fire , hears that she has been tricked ; for jake is not dying .",Objective
part of the film's cheeky charm comes from its vintage schmaltz .,Subjective
"a martial artist , afflicted with a disease that makes beautiful women want to kill him , goes on a suicide mission to find true love anyway .",Objective
a very funny look at how another culture handles the process of courting and marriage .,Subjective
"there's only one catch : martin , her ex-husband , still hasn't moved out of the place .",Objective
"one of the best cat-and-mouse movies to come along in a while , leo has great fun in the role .",Subjective
"the companies' ceos and attorneys are summoned to a final round of mediation , at an off-shore location .",Objective
